RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
401,8,150,120,北京,15-50人,inn_8r5wkpvfmk1k,我们是一个初创团队，队友都是原百度的同事，专注海外中东轻奢贸易,3,5,"['创始人亲自带', '地铁超近', '转正', '团队氛围超赞', '奢侈品']",商品运营,互联网/游戏/软件,与众不同,
402,4,200,150,广州,15-50人,inn_zh5ipvlet009,Fashion with AI,3,5,"['无限发展空间', '美国分公司', '年轻化团队']",商品上架实习生,互联网/游戏/软件,Preferr,
403,2,200,120,合肥,500-2000人,inn_l3lcdnv1nypb,安徽地区百度授权营销服务中心，代理百度全线产品,3,5,"['百度', '营销服务', '互联网']",营销顾问,互联网/游戏/软件,网新科技,
404,4,150,120,北京,500-2000人,inn_nwfdpmsreg7l,中国领先的一站式企业级人工智能产品与服务平台,3,4,"['大数据', '环境氛围好', '高科技', '合作范', '学习氛围好', '业界牛人']",HR实习生,互联网/游戏/软件,明略科技,
405,3,800,500,北京,150-500人,inn_rsh607jktpxm,Magic Tavern是一家全球化的游戏研发和发行公司,3,5,"['年轻& 活力', '成长环境', '发展好', '环境优雅', '定期免费体检']",2D动画实习生,互联网/游戏/软件,时空幻境,
406,1,180,150,上海,15-50人,inn_qpkjvj30bi4n,"公司致力于成为客户信赖的数据应用基础设施供应商,为客户提供数据中台建设和数据资产开发服务。",3,3,"['公司环境好', '精英团队']",文档工程师（实习）,互联网/游戏/软件,哲锦,
407,4,200,100,北京,50-150人,inn_4l4omswfxwjn,一家跨足海峡两岸，集咨询、专业服务和产品营销于一体的专业商务智能解决方案提供商,6,5,[],技术支持助理（BI方向）,互联网/游戏/软件,德昂公司,
408,7,120,80,武汉,500-2000人,inn_d5cceclivus0,“地产生态链互联网+服务领航者”,3,4,"['丰厚薪水', '入职培训', '下午茶', '7小时工作制', '扁平化', '部门活动', '社团俱乐部', '80 90', '成长指导', '活动丰富']",HR实习生,互联网/游戏/软件,明源云,
409,21,150,100,南京,150-500人,inn_lt7xeudtdrkf,中国的移动互联网英语学习平台,3,4,"['行业龙头', '高速发展', '免费英文培训', '注重兴趣爱好', '学习机会多', '空间无限大', '六险一金']",考研政治课程制作,互联网/游戏/软件,扇贝,
410,1,150,120,杭州,150-500人,inn_8hnshzvzakig,一家成员多为来自阿里、网易、百度、华为、新浪、微软、奥美、灵智等知名企业精英人才的公司,3,5,"['BAT大牛团队', '实习就业', '文化多元', '完善晋升空间', '丰富员工活动', '丰富带薪假期', '团队气氛超赞']",运营,互联网/游戏/软件,环球黑卡,
411,48,150,100,广州,2000人以上,inn_apyrxwrdbldo,追求完美、追求和谐的开发的文化氛围,6,5,"['融洽团队氛围', '花园式公司', '餐厅', '大集团背景', '发展', '有转正机会', '高端资源平台', '导师制培训', '有中午饭', '提供公寓式宿舍']",通信协议软件工程师【2021届】,电子/通信/硬件,京信通信集团,
412,5,150,100,上海,50-150人,inn_hfvkwhpa1qlb,业内领先的游戏研发和运营商,4,5,[],行政实习生,互联网/游戏/软件,时与光网络,
