maxsal,minsal,intern_num,city,scale,c_desc,month_num,day,c_tag,name,industry,c_name,
150,120,54,上海,2000人以上,复星，一家致力于投资的国际化集团。,6,5,"['金融', '保险', '国际化', '工作气氛好', '开脑洞', '高科技', '人工智能']",保险产品实习生,金融/经济/投资/财会,复星集团,
150,100,176,深圳,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",平台运营实习生,互联网/游戏/软件,欢聚集团,
150,120,14,上海,50-150人,我们充满热情的，并以一种全新的、创造性的方式帮助我们的客户提高他们的创新水平。,4,4,"['机会多', '优秀的团队', '软件']",CFD技术支持实习生,互联网/游戏/软件,澳汰尔,
120,100,3,北京,50-150人,天相投资顾问有限公司（简称“天相投顾”）创立于2001年，是经中国证监会批准的，具有基金评价业务资格,4,3,"['成长空间', '氛围轻松', '实践机会多', '大牛帮带', '领导nice']",人力资源实习生,金融/经济/投资/财会,天相投顾,
150,120,3,上海,500-2000人,2004年创立于浙江金华，多年来立足零售，美妆集合连锁。,4,4,"['优秀可转正', '过节福利', '热情团队', '生日卡福利', '潮人多']",电商运营实习生,快消/百货/批发/零售,粉合集团,
300,250,2,北京,150-500人,360集团旗下的自研与独代游戏品牌，总部位于深圳,6,6,"['老板年轻', '全勤奖', '福利佳']",游戏数值策划,互联网/游戏/软件,360游戏艺术,
100,50,2,全国,少于15人,Y&T Lab「一天设计实验室」，致力于提供健康、治愈、简约的原创产品设计。,3,5,"['产品设计', '国际奖项', '每月生日会', '项目提成', '出国旅行每年一次']",品牌产品文案,企业服务/咨询,一天生活,
200,120,3,深圳,少于15人,为海外留学提供在线学科辅导和学术能力提升项目,3,5,"['CBD核心区', '福利多', '学习空间', '周末双休', '办公环境舒适', '国际教育']",市场助理（实习生）,教育/培训,EleGo Education,
150,100,7,上海,15-50人,大雁资产是一家由华尔街资深对冲基金交易员和世界计算机科学家共同成立的量化私募投资公司。,6,5,[],行政助理（实习生）,金融/经济/投资/财会,大雁资产,
120,100,8,广州,150-500人,一家在线知识付费+电商的互联网公司,3,5,"['包餐', '优厚薪资', '免费咖啡零食', '轻松自由', '福利多多', '弹性上班']",运营推广实习生,互联网/游戏/软件,灵机文化,
180,120,4,上海,15-50人,全球领先的汽车零部件采供平台,6,5,"['交通便捷', '资源多', '产业互联网', '老板接地气', '活力& 创新', '发展潜力大']",买家开拓专员实习生,互联网/游戏/软件,全球汽贸网,
200,150,10,北京,150-500人,产品涵盖无线通信、卫星通信、融合通信、数据通信、综合调度和信息安全等领域。,12,3,"['自主创新', '科技报国']",招聘专员,电子/通信/硬件,阳光凯讯科技,
150,120,21,广州,500-2000人,一家专注于互联网营销服务圈的上市企业,3,5,"['资深大牛指导', '逗比工作氛围', '员工年度旅游', '免费体检，身体棒棒', '吃喝玩乐腐败金', '产品前景棒']",在线客服,互联网/游戏/软件,凡科,
500,250,21,广州,500-2000人,一家专注于互联网营销服务圈的上市企业,3,5,"['资深大牛指导', '逗比工作氛围', '员工年度旅游', '免费体检，身体棒棒', '吃喝玩乐腐败金', '产品前景棒']",销售专员,互联网/游戏/软件,凡科,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,3,"['工作环境超棒', '节日大礼包', '餐补']",小贷运营实习生 ,互联网/游戏/软件,欢聚集团,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",海外新媒体编辑实习生,互联网/游戏/软件,欢聚集团,
150,120,8,上海,50-150人,一家专注于房地产行业人才研究与寻访公司。,3,4,"['奖励机制多', '人生导师', '专业服务', '快速发展']",猎头管培生—松江,企业服务/咨询,索乐咨询,
180,120,16,深圳,500-2000人,综合型互联网投资理财平台,4,5,"['午餐&amp;amp;下午茶', '互联网 金融']",视觉设计实习生,互联网/游戏/软件,金斧子,
120,100,5,上海,15-50人,致力于为中国高端家庭提供一站式国际教育服务,3,5,"['工作氛围极好', '领导nice', '发展速度快', '专业提升巨大', '专注教育', '实现自我梦想', '顶级VC投资', '巨大发展潜力', '办公气氛自由', '生日补助']",行政人事助理,教育/培训,海岸线国际教育,
